content,processed_content,class
"Amid an alarming rise of flu cases across Karachi, the provincial health department has issued an alert, directing all officials concerned to take effective measures for the disease management, its monitoring and containment, it emerged on Sunday.",amid an alarming rise of flu cases across karachi the provincial health department has issued an alert directing all officials concerned to take effective measures for the disease management its monitoring and containment it emerged on sunday,World_news
"China’s navy has reportedly conducted a second live-fire exercise in international waters, a day after a similar drill forced multiple airlines to change flight paths between Australia and New Zealand.",chinas navy has reportedly conducted a second livefire exercise in international waters a day after a similar drill forced multiple airlines to change flight paths between australia and new zealand,World_news
India and the US are set to begin talks to sign this year a new 10-year defence framework that will run from 2025 to 2035 and is expected to be finalized later this year.,india and the us are set to begin talks to sign this year a new year defence framework that will run from  to  and is expected to be finalized later this year,World_news
Brazil defender Marcelo has announced his retirement from football at the age of 36.,brazil defender marcelo has announced his retirement from football at the age of ,Sports
Sri Lanka’s Dimuth Karunaratne said Sunday it had been “a very emotional day’’ after his 100th and final Test ended with a defeat to Australia.,sri lankas dimuth karunaratne said sunday it had been a very emotional day after his th and final test ended with a defeat to australia,Sports
"According to latest reports, the fire at the Ella Forest Reserve in the Uva province had been doused after two days.",according to latest reports the fire at the ella forest reserve in the uva province had been doused after two days,World_news
"All passengers and crew on a flight which crashed and overturned while landing at Toronto Pearson Airport in Canada have survived, the airport’s chief executive has said.",all passengers and crew on a flight which crashed and overturned while landing at toronto pearson airport in canada have survived the airports chief executive has said,World_news
"The Sri Lankan cricket selectors have made a bold move by adding Ramesh Mendis to the squad for the highly anticipated 2nd Test match against the visiting Australian team, scheduled to begin on February 6 in Galle. The 29-year-old all-rounder brings a fresh dynamic to the team as they seek to bounce back from their crushing defeat in the first Test.",the sri lankan cricket selectors have made a bold move by adding ramesh mendis to the squad for the highly anticipated nd test match against the visiting australian team scheduled to begin on february  in galle the yearold allrounder brings a fresh dynamic to the team as they seek to bounce back from their crushing defeat in the first test,Sports
Three to four Diyawanna members of a main political party in the opposition had recently called on a Pohottuwa bigwig.,three to four diyawanna members of a main political party in the opposition had recently called on a pohottuwa bigwig,Political_gossip
A lady who was functioning as the head of a state-run undertaking was removed from the post quite recently.,a lady who was functioning as the head of a staterun undertaking was removed from the post quite recently,Political_gossip
"Three days after the so-called shocking murder in the courtroom at the Colombo Magistrate’s Court, the alleged killer has been taken into custody, the man behind the killing identified but the female suspect linked to the killing still roams free. The ‘lady’ has been identified, but has not been taken into custody.",three days after the socalled shocking murder in the courtroom at the colombo magistrates court the alleged killer has been taken into custody the man behind the killing identified but the female suspect linked to the killing still roams free the lady has been identified but has not been taken into custody,Opinion
"One month after Donald Trump took office, U.S. inflation surged to 3% for the first time since June, marking it as one of the administration’s most pressing economic challenges.",one month after donald trump took office us inflation surged to  for the first time since june marking it as one of the administrations most pressing economic challenges,World_news
"Sri Lanka’s export sector kicked off 2025 on a positive note, with total exports crossing US$ 1.3 billion in January, marking a 7.5 percent year-on-year (YoY) increase, data from the Export Development Board (EDB) showed.",sri lankas export sector kicked off  on a positive note with total exports crossing us  billion in january marking a  percent yearonyear yoy increase data from the export development board edb showed,Business
"This February, being the Valentine’s month, AIA Insurance is offering a unique opportunity to express love and care beyond the ordinary.",this february being the valentines month aia insurance is offering a unique opportunity to express love and care beyond the ordinary,Business
"For Danigala Mahabandalage Suda Wannila Aththo, the incumbent leader of the Rathugala adivasi community, bee-honey harvesting is part of their traditional lifestyle. Rathugala is a scenic village in the Eastern Province of Sri Lanka, located bordering the Gal Oya region in Ampara District. Following a prayer dedicated to Kalu Bandara deiyo, a local deity whom they believe is a guardian of the thick jungles they live in, Suda Wannila Aththo and hi",for danigala mahabandalage suda wannila aththo the incumbent leader of the rathugala adivasi community beehoney harvesting is part of their traditional lifestyle rathugala is a scenic village in the eastern province of sri lanka located bordering the gal oya region in ampara district following a prayer dedicated to kalu bandara deiyo a local deity whom they believe is a guardian of the thick jungles they live in suda wannila aththo and hi,Opinion
"In a drab office in China’s industrial heartland, Andy Xiao frets over the future of his shoe materials business, now straining under sweeping tariffs imposed by Donald Trump.",in a drab office in chinas industrial heartland andy xiao frets over the future of his shoe materials business now straining under sweeping tariffs imposed by donald trump,World_news
"Amitabh Kant—the key driver of Made in India, Startup India, Incredible India, and God’s Own Country—shares his views with Daily Mirror in an interview during his visit to the country.",amitabh kantthe key driver of made in india startup india incredible india and gods own countryshares his views with daily mirror in an interview during his visit to the country,World_news
"Sri Lanka’s 2025 Budget unveiled by President Anura Kumara Dissanayake in Parliament on 17 February, was an eagerly awaited development, as it set the tone for the country’s current economic trajectory under the new government.",sri lankas  budget unveiled by president anura kumara dissanayake in parliament on  february was an eagerly awaited development as it set the tone for the countrys current economic trajectory under the new government,Business
"President Donald Trump has nominated S. Paul Kapur, a scholar of Indian origin known for his critical views on Pakistan, as the next Assistant Secretary of State for South and Central Asia.",president donald trump has nominated s paul kapur a scholar of indian origin known for his critical views on pakistan as the next assistant secretary of state for south and central asia,World_news
"During a recent session of Pakistan’s National Assembly, Maulana Fazl-ur-Rehman, leader of Jamiat Ulema-e-Islam-Fazl (JUI-F), expressed concern that Pakistan’s authority in Balochistan is weakening.",during a recent session of pakistans national assembly maulana fazlurrehman leader of jamiat ulemaeislamfazl juif expressed concern that pakistans authority in balochistan is weakening,World_news
"The United States was Germany’s biggest single trading partner last year for the first time since 2015, displacing China from the top spot as exports to the Asian power declined, official figures showed Wednesday.",the united states was germanys biggest single trading partner last year for the first time since  displacing china from the top spot as exports to the asian power declined official figures showed wednesday,World_news
"NDB Wealth Management has partnered with Colombo Fashion Week 2025 (CFW), bringing together two industries that thrive on shared values including vision, precision, and innovation.",ndb wealth management has partnered with colombo fashion week  cfw bringing together two industries that thrive on shared values including vision precision and innovation,Business
"The first part of this article published last week briefly outlined the history of Sri Lanka’s national anthem being sung in Tamil. In this second and final part, the focus would be on the regress and progress of the national anthem rendition in Tamil over the years. As stated earlier the Tamil national anthem issue is in a sense symptomatic of the escalating ethnic crisis in Sri Lanka.",the first part of this article published last week briefly outlined the history of sri lankas national anthem being sung in tamil in this second and final part the focus would be on the regress and progress of the national anthem rendition in tamil over the years as stated earlier the tamil national anthem issue is in a sense symptomatic of the escalating ethnic crisis in sri lanka,Opinion
China’s rapid industrialization over the past few decades has brought significant economic growth and transformed the nation into a global powerhouse.,chinas rapid industrialization over the past few decades has brought significant economic growth and transformed the nation into a global powerhouse,World_news
"Sri Lanka’s banking sector faces a paradox: despite ample liquidity, with banks’ liquid assets nearly doubling to 35.25% of total assets, credit growth remains stagnant due to high levels of non-performing loans (NPLs).",sri lankas banking sector faces a paradox despite ample liquidity with banks liquid assets nearly doubling to  of total assets credit growth remains stagnant due to high levels of nonperforming loans npls,Business
"Last week, underworld kingpin Sanjeewa Kumara Samararathne, alias ‘Ganemulla Sanjeewa’, was shot dead inside the Colombo magistrate court by a gunman disguised as a lawyer. The killing, as shocking as it was, also highlighted major security lapses: Producing a high-risk inmate before the magistrate was unwanted at a time when much of bail hearings are taking place over Skype.",last week underworld kingpin sanjeewa kumara samararathne alias ganemulla sanjeewa was shot dead inside the colombo magistrate court by a gunman disguised as a lawyer the killing as shocking as it was also highlighted major security lapses producing a highrisk inmate before the magistrate was unwanted at a time when much of bail hearings are taking place over skype,Opinion
"There is a troika formed in a certain political Balavegaya that stands for unity, they say.",there is a troika formed in a certain political balavegaya that stands for unity they say,Political_gossip
"There is a certain former purohita who is among the few others again aspiring to top team status. He is known to have an unbridled tongue and in fact, he, once, fell afoul of the law by talking out of turn. By the way, this politico hailing from a district known for its cool climate is heading the list of highly disappointed top team office hopefuls as well. And he is said to be holding a grudge against the powers that be over this issue. A few",there is a certain former purohita who is among the few others again aspiring to top team status he is known to have an unbridled tongue and in fact he once fell afoul of the law by talking out of turn by the way this politico hailing from a district known for its cool climate is heading the list of highly disappointed top team office hopefuls as well and he is said to be holding a grudge against the powers that be over this issue a few,Political_gossip
"More than 30 people have been killed in a bus crash on a mountain road in Bolivia, police say.",more than  people have been killed in a bus crash on a mountain road in bolivia police say,World_news
Qatar has agreed to invest $10 billion in India as trade ties between the two deepen.,qatar has agreed to invest  billion in india as trade ties between the two deepen,World_news
Australia all-rounder Marcus Stoinis has shocked the world by announcing his immediate retirement from ODI cricket.,australia allrounder marcus stoinis has shocked the world by announcing his immediate retirement from odi cricket,Sports
"There is a Top Team member elected to Diyawanna from a district close to Colombo. By the way, he is a senior member of a political family there.",there is a top team member elected to diyawanna from a district close to colombo by the way he is a senior member of a political family there,Political_gossip
"Acuity Knowledge Partners (Acuity), a leading provider of bespoke research, analytics and technology solutions to the financial services sector has announced the launch of a mentorship programme designed to equip university undergraduates with the skills and knowledge required to pursue careers in global capital markets.",acuity knowledge partners acuity a leading provider of bespoke research analytics and technology solutions to the financial services sector has announced the launch of a mentorship programme designed to equip university undergraduates with the skills and knowledge required to pursue careers in global capital markets,Business
"Galle has been a fortress for Sri Lanka in the longest format with the island nation registering so many famous victories against top Test nations, but on Sunday not only the fortress was breached, it was destroyed, demolished and bulldozed by a thoroughly professional Australian team led by Steven Smith.",galle has been a fortress for sri lanka in the longest format with the island nation registering so many famous victories against top test nations but on sunday not only the fortress was breached it was destroyed demolished and bulldozed by a thoroughly professional australian team led by steven smith,Sports
"The impending move to appoint new governing ones to the provinces has become a hot topic these days. However, only four governing ones have been asked to tender their resignation. Meanwhile, sources say that the government’s initial plan was to replace five governing ones with new ones.",the impending move to appoint new governing ones to the provinces has become a hot topic these days however only four governing ones have been asked to tender their resignation meanwhile sources say that the governments initial plan was to replace five governing ones with new ones,Opinion
"Seylan Bank PLC reported higher earnings for the three months ended in December 2024 on the back of provision reversals coming from its investments in International Sovereign Bonds, lower provisions for possible bad loans and expanding loan book.",seylan bank plc reported higher earnings for the three months ended in december  on the back of provision reversals coming from its investments in international sovereign bonds lower provisions for possible bad loans and expanding loan book,Business
"India is set to produce its first domestically manufactured semiconductor chip by September or October 2025, according to IT Minister Ashwini Vaishnaw.",india is set to produce its first domestically manufactured semiconductor chip by september or october  according to it minister ashwini vaishnaw,World_news
Australia were firmly in the driving seat despite a spirited Sri Lankan fightback to reach 229-9 at stumps on day one of the second Test in Galle on Thursday.,australia were firmly in the driving seat despite a spirited sri lankan fightback to reach  at stumps on day one of the second test in galle on thursday,Sports
"The month of February 2025 has been most eventful. One of the most anticipated events was the first budget to be proposed by our first-ever leftist government not in coalition with other political parties. With its overwhelming majority in parliament, there is little doubt the budget would be passed.",the month of february  has been most eventful one of the most anticipated events was the first budget to be proposed by our firstever leftist government not in coalition with other political parties with its overwhelming majority in parliament there is little doubt the budget would be passed,Opinion
The last set of games in the Inter-Club Rugby League Tournament will be featured this weekend with four matches down for decision in Colombo.,the last set of games in the interclub rugby league tournament will be featured this weekend with four matches down for decision in colombo,Sports
The present government has been tested to the brim these days. The Hulftsdorp Court shooting posed enough questions about security in this country.,the present government has been tested to the brim these days the hulftsdorp court shooting posed enough questions about security in this country,Opinion
"Today, February 18, 2025, marks the 35th year since the abduction and brutal killing of journalist, teacher, poet, playwright, actor and activist Richard de Zoysa.",today february   marks the th year since the abduction and brutal killing of journalist teacher poet playwright actor and activist richard de zoysa,Opinion
"Just ahead of the ICC Champions Trophy 2025, in a significant shake-up, the data reveals that India’s Shubman Gill and Sri Lanka’s Maheesh Theekshana have proudly escalated to the No.1 rankings in the latest ICC Men’s ODI Player Rankings.",just ahead of the icc champions trophy  in a significant shakeup the data reveals that indias shubman gill and sri lankas maheesh theekshana have proudly escalated to the no rankings in the latest icc mens odi player rankings,Sports
"Sri Lanka’s top tech industry veterans asserted the critical need for the start-ups to lead with artificial intelligence (AI) in their messaging, regardless of their business model, to stay competitive and align with the global and regional leaders in their respective fields.",sri lankas top tech industry veterans asserted the critical need for the startups to lead with artificial intelligence ai in their messaging regardless of their business model to stay competitive and align with the global and regional leaders in their respective fields,Business
A Spanish court on Thursday convicted and fined former football chief Luis Rubiales of sexual assault over the forced kiss he gave star forward Jenni Hermoso but acquitted him of the charge of coercion,a spanish court on thursday convicted and fined former football chief luis rubiales of sexual assault over the forced kiss he gave star forward jenni hermoso but acquitted him of the charge of coercion,Sports
"The case of Mustafa Amir, a 23-year-old who was kidnapped and murdered, has been making headlines in Karachi. Mustafa went missing on January 6, 2025, after leaving his home in the Defence Housing Authority (DHA) area.",the case of mustafa amir a yearold who was kidnapped and murdered has been making headlines in karachi mustafa went missing on january   after leaving his home in the defence housing authority dha area,World_news
"Exactly a month ago, on January 28 we editorially discussed some aspects pertaining to the ongoing crimes in the country while pointing out that minimising crimes should be one of the top most priorities of the government’s “Clean Sri Lanka” programme.",exactly a month ago on january  we editorially discussed some aspects pertaining to the ongoing crimes in the country while pointing out that minimising crimes should be one of the top most priorities of the governments clean sri lanka programme,Opinion
